Fumbles Lost,Games Played,Player Name,Position,Team,Passing Yards,Rushing Yards,Receiving Yards,Passing TDs,Rushing TDs,Receiving TDs,Total Yards
0.0,9.0,Marvin Hall,WR,DET,0.0,7.0,261.0,,,,268.0
1.0,6.0,Matt Schaub,QB,ATL,580.0,-3.0,0.0,,,,577.0
1.0,14.0,Jaron Brown,WR,SEA,0.0,0.0,220.0,,,,220.0
1.0,13.0,Vyncint Smith,WR,NYJ,0.0,52.0,225.0,,,,277.0
0.0,7.0,Greg Ward,WR,PHI,0.0,5.0,254.0,,,,259.0
0.0,13.0,Pharoh Cooper,WR,2TM,0.0,2.0,243.0,,,,245.0
1.0,9.0,Keke Coutee,WR,HOU,0.0,14.0,254.0,,,,268.0
0.0,12.0,Kyle Juszczyk,RB,SFO,0.0,7.0,239.0,,,,246.0
0.0,15.0,Malik Turner,WR,SEA,0.0,0.0,245.0,,,,245.0
0.0,15.0,Charles Clay,TE,ARI,0.0,0.0,237.0,,,,237.0
0.0,8.0,Qadree Ollison,RB,ATL,0.0,50.0,7.0,,,,57.0
1.0,12.0,Chester Rogers,WR,IND,0.0,18.0,179.0,,,,197.0
0.0,16.0,Jeremy Sprinkle,TE,WAS,0.0,0.0,241.0,,,,241.0
0.0,16.0,Jarius Wright,WR,CAR,0.0,-7.0,296.0,,,,289.0
0.0,3.0,DeSean Jackson,WR,PHI,0.0,0.0,159.0,,,,159.0
0.0,14.0,Jake Kumerow,WR,GNB,0.0,0.0,219.0,,,,219.0
0.0,10.0,Scott Miller,WR,TAM,0.0,16.0,200.0,,,,216.0
0.0,16.0,Justin Watson,WR,TAM,0.0,0.0,159.0,,,,159.0
1.0,10.0,Jakeem Grant,WR,MIA,0.0,5.0,164.0,,,,169.0
0.0,7.0,N'Keal Harry,WR,NWE,0.0,49.0,105.0,,,,154.0
0.0,5.0,James O'Shaughnessy,TE,JAX,0.0,0.0,153.0,,,,153.0
1.0,7.0,Mark Walton,RB,MIA,0.0,201.0,89.0,,,,290.0
0.0,3.0,Chase Daniel,QB,CHI,435.0,6.0,0.0,,,,441.0
0.0,15.0,Anthony Firkser,TE,TEN,0.0,0.0,204.0,,,,204.0
0.0,8.0,Isaiah Ford,WR,MIA,0.0,11.0,244.0,,,,255.0
0.0,9.0,Marquise Goodwin,WR,SFO,0.0,15.0,186.0,,,,201.0
0.0,14.0,Dontrell Hilliard,RB,CLE,0.0,49.0,92.0,,,,141.0
0.0,15.0,Andy Isabella,WR,ARI,0.0,15.0,189.0,,,,204.0
0.0,13.0,Bilal Powell,RB,NYJ,0.0,229.0,33.0,,,,262.0
1.0,12.0,Trey Quinn,WR,WAS,0.0,0.0,198.0,,,,198.0
0.0,13.0,Damion Ratley,WR,CLE,0.0,0.0,200.0,,,,200.0
0.0,16.0,Maxx Williams,TE,ARI,0.0,0.0,202.0,,,,202.0
0.0,5.0,Dan Arnold,TE,2TM,0.0,0.0,127.0,,,,127.0
3.0,3.0,Ryan Finley,QB,CIN,474.0,77.0,0.0,,,,551.0
1.0,10.0,KeeSean Johnson,WR,ARI,0.0,3.0,187.0,,,,190.0
0.0,16.0,Cordarrelle Patterson,WR,CHI,0.0,103.0,83.0,,,,186.0
0.0,7.0,Ito Smith,RB,ATL,0.0,106.0,87.0,,,,193.0
0.0,16.0,Javon Wims,WR,CHI,0.0,0.0,186.0,,,,186.0
1.0,16.0,Ameer Abdullah,RB,MIN,0.0,115.0,88.0,,,,203.0
0.0,7.0,Myles Gaskin,RB,MIA,0.0,133.0,51.0,,,,184.0
0.0,11.0,Dante Pettis,WR,SFO,16.0,0.0,109.0,,,,125.0
0.0,13.0,Laquon Treadwell,WR,MIN,0.0,0.0,184.0,,,,184.0
0.0,10.0,Olamide Zaccheaus,WR,ATL,0.0,0.0,115.0,,,,115.0
0.0,16.0,JJ Arcega-Whiteside,WR,PHI,0.0,0.0,169.0,,,,169.0
